System Dialogue Behaviours,System response (Chinese corpus),System response (translation)
demand_departure,请问您从哪个城市出发？,May I know your departure city?
demand_destination,请问您要飞往哪里？,What is your destination?
demand_departure_time,您希望什么时候出发？,When would you like to depart?
demand_airlines,您有偏好的航空公司吗？,Do you have any preferred airlines?
demand_cabin,您希望选择什么舱位？经济舱还是商务舱？,"Which cabin class do you prefer, economy or business?"
demand_price,您的预算范围是多少？,What’s your budget range?
demand_ticket_num,您需要几张票？,How many tickets do you need?
demand_passenger_info,请提供乘机人姓名和联系方式。,Please provide the passenger's name and contact information.
recommend_flight_options,我为您找到以下航班，请您选择。,I’ve found the following flights for you. Please make a choice.
recommend_cheapest,这是当前最便宜的一班航班。,This is currently the cheapest available flight.
recommend_fastest,这是最早到达目的地的航班。,This flight gets you to your destination the fastest.
guide_fill_slot,请您补充一下出发城市信息。,Could you please tell me your departure city?
guide_next_stage,接下来请您选择一班合适的航班。,"Next, please choose a suitable flight."
guide_payment,请您完成支付以完成预订。,Please proceed to payment to finalize the booking.
confirm_departure,您确认是从上海出发吗？,"Just to confirm, is your departure city Shanghai?"
confirm_destination,您是要飞往成都吗？,Are you flying to Chengdu?
confirm_time,您希望的是下周一上午出发，对吗？,"You want to depart next Monday morning, right?"
confirm_selection,请确认是否选择该航班进行预订？,Please confirm if you'd like to book this flight.
confirm_booking,信息已确认，请问是否现在为您下单？,All info is confirmed. Shall I book it now?
booking_success,预订成功，您的电子票已发送至邮箱。,Booking successful! Your e-ticket has been sent to your email.
booking_failure,抱歉，预订失败，该航班已售罄。,"Sorry, booking failed. The flight is sold out."
provide_summary,以下是您预订的详细信息，请确认。,Here are your booking details. Please confirm.
end_conversation,感谢使用本系统，祝您旅途愉快！,Thank you for using our service. Have a pleasant trip!
unclear_demand_price,"请问您是想选择更便宜的机票吗？
请问您是想选择更贵的航班吗？
请问您是想选择价格较低的机票吗
请问您是想选择价格更高的机票吗？","Are you looking for a more affordable flight ticket?
Would you like to choose a more expensive flight?
Do you prefer a ticket that is less expensive?
Are you interested in a ticket with a higher price?"
unclear_demand_cabin,"请问您是想选择公务舱的机票吗？
请问您是想选择头等舱的机票吗？
请问您是想选择商务舱的机票吗？
请问您说的是舱位吗
请问您想选择什么舱位","Are you interested in a business class ticket?
Would you like to choose a first-class seat?
Are you considering flying in premium economy class?
Do you mean the type of seat?
What class of seat would you like to choose?"
unclear_demand_airlines,"请问您是想选择购买山航的机票吗？
请问您是想选择购买南航的机票吗？
请问您是想选择购买东航的机票吗？
请问您是想选择购买国航的机票吗？
请问您是想选择东方航空的机票吗？
请问您是想选择除春秋航空外其他航司的机票吗","Are you interested in purchasing a ticket from Shandong Airlines?
Would you like to choose a ticket from China Southern Airlines?
Are you considering buying a China Eastern Airlines ticket?
Would you like to choose a ticket from Air China?
Are you interested in choosing a ticket from China Eastern Airlines?
Are you interested in choosing a ticket from an airline other than Spring Airlines?"
unclear_demand_destination,"请问您说的是目的地吗？
请问您的目的地是XX还是XX？
请问您的目的地是敦煌吗？","Are you referring to the destination?
Is your destination XX or XX?
Are you going to Dunhuang?"
